index	smarts
mh0	Oc1ccc2ccc(=O)oc2c1
mh1	CC1CCC(N)CC1
mh2	C:C:C:O:C1:C:C:C:C(O):C:1
mh3	CCCCCC1(C)C=CC(=O)CC1
mh4	CC(CN)CCC(C(O)=O)C
mh5	CC=CCC1:C:C:C(O):C:C:1
mh6	Cc1c[nH]cc1cc(O)cc
mh7	C(Cc1c[nH]c(cc)c1ccO)C(=O)O
mh8	c1cccc(c1)OC
mh9	CCC(CN)CCCC(O)=O
mh10	CC1CC(CNC(=O)CO)c2cccc(=O)n2C1
mh11	CC(N)CCCC=O
mh12	Cc1c[nH]c(ccc)c1c
mh13	C=NC(Cc1ccccc1)C(=O)O
mh14	OCC1CCCCC1
mh15	OCC(=O)N1CCCCC1
mh16	[H]C1CCC([H])CC1
mh17	OCN1CC2CC(c(n(C2)c(=O)c)cc)C1
mh18	Cc1ccc(Cl)cc1
mh19	C(O)=NC(Ccccccc)C(=O)O
mh20	CC1CCCC(Cl)C1
mh21	CCC(C)CCC1CC=CC(=O)C1C
mh22	CNCC(C)O
mh23	CCCCCCC
mh24	CCCCCC(=O)O
mh25	Ccc[nH]c1ccc(O)cc1
mh26	CCC(CCC)C(=O)O
mh27	CCC(C)CC
mh28	c1c[nH]c(cccO)c1c
mh29	COc1cc(C)cc2oc(=O)cc(C)c12
mh30	NCc1ccccc1
mh31	NCCc1ccccc1
mh32	[H]N1CCN([H])CC1
mh33	C:C:C(=O):O:C1:C:C:C:C(:C:1)OCC(=O)N1CC2CC(C1)C1:C:C:C:C(=O):N:1C2
mh34	CC(C)CCC(=O)O
mh35	CN=C(O)COc1cc2OC(C)(C)CCc2c2oc(=O)cc(C)c12
mh36	C(O)=NCCc1ccccc1
mh37	CC1CNCCc2cccc(=O)n2C1
mh38	Nc1ccccc1
mh39	CCc1c(C)c2cc3c(C)coc3cc2oc1=O
mh40	O=C(:O):C:C:C1:C:C:C2:O:C:C:C:2:C:1
mh41	oc(=O)ccCC
mh42	Oc1cc(c(CCN)c[nH]2)c2cc1
mh43	ccccCl
mh44	C(O)=NC(Cc(c)c1cc(O)ccc1[nH])C(=O)O
mh45	C(Cc(c)c1ccccc1[nH])C(=O)O
mh46	CCC(C)=CCC1C(C)CCCC1(C)C
mh47	OCCCl
mh48	C(=O)Cc1ccccc1
mh49	CN(CC1CCCn2c1cccc2=O)C(=O)CO
mh50	C:C(O):C(O):C:C:CCNCC
mh51	OC1:C:C:C:C:C:1
mh52	C(=O)N1CC2CC(C1)c(cccc=O)nC2
mh53	C:C:O:C1:C:C:C2:C:C:C:O:C:2:C:1
mh54	c1ccc2ccc(=O)oc2c1
mh55	CCOC(C)=O
mh56	Cc1c[nH]c2ccccc12
mh57	N1CC2CC(C1)c(ccc)n(C2)c=O
mh58	C(O)=NCC(O)=NC(Cc1ccccc1)C(=O)O
mh59	CCc1c[nH]c2ccc(O)cc12
mh60	O=CCCCO
mh61	CC1CC(CNC(O)=N)c2cccc(=O)n2C1
mh62	CCCCCCCC
mh63	oc(=O)c(C)cC
mh64	c(c)ccc(Cl)c
mh65	CCCCCCCO
mh66	CCC1:C:C:C(O):C(O):C:1
mh67	NC(=O)NC=O
mh68	C(O)=NC(Cc1c[nH]c(cccO)c1c)C(=O)O
mh69	C:C:C:C:C1:C:C:C:N:C:1
mh70	CC(C)CC=O
mh71	CCN(C=O)CC
mh72	OCC(O)=NCC(=O)O
mh73	c(OC)cOC
mh74	N1CC2CC(C1)c(c)n(C2)c(=O)cc
mh75	O=CN1CCC(CO)CC1
mh76	C(=O)N1CC2CC(C1)c(ccc)n(C2)c=O
mh77	Cn1c(cccc1=O)C1CCCNC1
mh78	C(=O)C1CCCCC1
mh79	[H]S[H]
mh80	Cc1c[nH]cccc(O)cc1
mh81	C(=O)c1ccccc1
mh82	CC1CC(CNC(O)=N)Cn2c1cccc2=O
mh83	c1[nH]c2ccccc2c1
mh84	CN(CC1CCc2cccc(=O)n2C1)C(O)=N
mh85	cc(Cl)c
mh86	CC(O)=NC(C)C(=O)O
mh87	CCC=C(C)C
mh88	C1:C:C:C2:N:C:C:C:2:C:1
mh89	ccc(O)cc
mh90	CC1CCC(CC1)C(=O)O
mh91	CC(=O)N1CC(C)CC(C1)c1cccc(=O)n1
mh92	CC1CN(CO)CCCn(c1ccc2)c2=O
mh93	CCCOC=O
mh94	CC(N)C(O)=NC(CC1:C:C:C:C:C:1)C(=O)O
mh95	OC1CCCC(O)C1
mh96	OC1CCCCC1
mh97	c1cccc(=O)n1CC1CCCNC1
mh98	CC1CNCCCn2c1cccc2=O
