mz	intensity	rcdk_assignment_top	rcdk_top_mass	rcdk_all_outputs	formula	index	from_index	to_index
153.0688	945.5	C12H9	153.07042529007	0.0016252900699953443	C12H9	frag_0		
171.0807	306.6	C12H11O	171.0809899741	0.00028997409998510193	C12H11O	frag_1		
181.0646	2356.4	C13H9O	181.06533990964	0.000739909639975167	C13H9O	frag_2		
182.0711	543.5	C13H10O	182.07316494187	0.0020649418700031674	C13H10O	frag_3		
196.1686	152.5	C12H20O2	196.14632988374	0.02227011625998898	C12H20O2	frag_4		
197.0616	511.1	C13H9O2	197.06025452921	0.001345470789999581	C13H9O2	frag_5		
198.9641	62.6	C3H3O10	198.97262129239	0.008521292389986002	C3H3O10	frag_6		
199.0756	20565.3	C13H11O2	199.07590459367	0.00030459366999480153	C13H11O2	frag_7		
199.8691	128.3	C6O8	199.95931695656	0.09021695655999906	C6O8	frag_8		
200.0811	3534.2	C13H12O2	200.0837296259	0.002629625899999155	C13H12O2	frag_9		
200.2484	105.4	C15H20	200.1565006446	0.0918993554000167	C15H20	frag_10		
200.8706	85.5	C6HO8	200.96714198879	0.0965419887899941	C6HO8	frag_11		
201.0805	369.7	C2H17O10	201.08217174361	0.0016717436099895622	C2H17O10	frag_12		
201.2341	56.6	C15H21	201.16432567683	0.06977432317000876	C15H21	frag_13		
345.065	95.0	C17H13O8	345.06104237555	0.003957624449981267	C17H13O8	frag_14		
380.9706	344.8	C21HO8	380.96714198879	0.0034580112100002225	C21HO8	frag_15		
382.9795	84.5	C21H3O8	382.98279205325	0.0032920532500497757	C21H3O8	frag_16		
397.9727	188.9	C21H2O9	397.96988164059	0.0028183594099573384	C21H2O9	frag_17		
398.985	139.3	C21H3O9	398.97770667282	0.007293327180036613	C21H3O9	frag_18		
400.9816	204.8	C28HO4	400.98748351051	0.00588351050998881	C28HO4	frag_19		
402.9729	104.7	C20H3O10	402.97262129239	0.0002787076099934893	C20H3O10	frag_20		
402.9897	111.6	C24H3O7	402.98787743368	0.0018225663200155395	C24H3O7	frag_21		
27.995800000000003	1650.95				CO	loss_0	frag_2	frag_0
46.0068	10755.4				CH2O2	loss_1	frag_7	frag_0
47.01229999999998	2239.85				CH3O2	loss_2	frag_9	frag_0
27.9949	10435.95				CO	loss_3	frag_7	frag_1
29.000399999999985	1920.4				CHO	loss_4	frag_9	frag_1
18.010999999999996	11460.85				H2O	loss_5	frag_7	frag_2
19.01649999999998	2945.3				H3O	loss_6	frag_9	frag_2
17.004500000000007	10554.4				HO	loss_7	frag_7	frag_3
18.00999999999999	2038.85				H2O	loss_8	frag_9	frag_3
2.01400000000001	10538.2				H2	loss_9	frag_7	frag_5
3.0194999999999936	2022.65				H3	loss_10	frag_9	frag_5
204.00879999999998	83.65				C17	loss_11	frag_20	frag_6
181.1015	236.55				C15H	loss_12	frag_15	frag_8
198.10359999999997	158.6				C15H2O	loss_13	frag_17	frag_8
199.1159	133.8				C15H3O	loss_14	frag_18	frag_8
144.1944	90.25				C11H12	loss_15	frag_14	frag_11
180.1	215.15				C15	loss_16	frag_15	frag_11
197.10209999999998	137.2				C15HO	loss_17	frag_17	frag_11
198.11440000000002	112.4				C15H2O	loss_18	frag_18	frag_11
202.10229999999999	95.1				C14H2O2	loss_19	frag_20	frag_11
16.00550000000004	111.9				O	loss_20	frag_18	frag_16
